SÕNA,NÄIDE,SARNASED,TASE
altpoolt,Altpoolt tulev kriitika,"pealtpoolt, sealtpoolt, ülaltpoolt, poolt, sealpool",B1
alustass,Mõnel pool joodi teed alustassilt,"alustus, lustakas, austus, autasu, vastas",B1
amet,Tal on mitu ühiskondlikku ametit,"samet, armetu, lame, mets, ametlik",A2
ametlik,Kokkutuleku ametlik osa ning seltskondlik osa,"ametnik, ametlikult, imelik, metsik, mõtlik",B1
ametlikult,Alluvatega vestleb ta ametlikult ning distantsi hoidvalt,"metsikult, tahtlikult, avalikult, ekslikult, ulatuslikult",B1
ammendama,Jooksja oli oma jõuvarud ammendanud,"ammenduma, arendama, asendama, kamandama, lahendama",B2
ammenduma,Maailma naftavarud võivad ükskord ammenduda,"asenduma, imenduma, anduma, klammerduma, rakenduma",B2
ammu,"See juhtus päris, üsna, väga, õige ammu","ammune, rammus, kamm, samm, sammuma",A2
ammutama,Ammutab kulbiga potist suppi,"lammutama, hammustama, kummutama, summutama, arutama",B2
analüüsima,Koosolekul analüüsitakse töö tulemusi ja vigade põhjusi,"analüütik, maalima, kanaliha, raatsima, tantsima",B1
anarhia,Riigis valitseb täielik anarhia,"narrima, vanaisa, kanaliha, klaarima, vaarikas",B2
anatoomia,Laulja peab tundma ka hääleorganite anatoomiat,"noomima, autonoomia, tooma, astronoomia, sanatoorium",B2
and,Inimene püüdis loodusjõude ohvrite ning andidega lepitada,"kand, rand, andma, andur, asend",C1
andma,Ta annab paberi isale,"anduma, kandma, kanduma, vanduma, anuma",A1
andmed,Eluloolisi andmeid kirjanike kohta,"sademed, valeandmed, isikuandmed, anduma, kandma",A2
anekdoot,Tänapäeval aga olid anonüümsed üksnes anekdoodid,"noot, pankrot, pannkook, kvoot, ankeet",B1
angerjas,Tema püütud angerjad olid kui täismehe käsivarred,"kangas, neljas, langema, annetaja, kangesti",B1
ankur,Heitsime ankru merre,"pankur, vanur, aur, tanker, vanker",B2
annetama,"Mõned annetasid sooje riideid, mõned toiduaineid","ennetama, kannatama, langetama, tunnetama, vannitama",B2
anonüümne,Artikkel ilmus anonüümsena,"antonüüm, anonüümsus, sünonüüm, nüüdne, autonoomne",B2
anonüümsus,Miks eelistas autor anonüümsust,"antonüüm, sünonüüm, vaimsus, vanaonu, kodakondsus",B2
anum,Kõik anumad olid juba õunamahla täis,"anuma, asum, janu, kanduma, manguma",B2
aparaat,Matemaatikainstituudis nägime mitmesuguseid värvilisi kõeraid joonistavaid aparaate,"parajalt, fotoaparaat, paraad, piraat, aparatuur",B2
apelsin,Apelsinid sisaldavad palju C-vitamiini,"happeline, apelsinimahl, pealinn, pension, helin",A1
apelsinimahl,Klaas apelsinimahla,"sidrunimahl, esinema, mainima, arestima, esindama",A2
apteek,Käisin apteegist rohtu toomas,"apteeker, hüpoteek, aspekt, atleet, kapten",B1
arendama,Eestis arendati välja võimas tööstus,"parendama, asendama, arveldama, lahendama, laiendama",B1
aretama,See tõug aretati Tori Hobusekasvanduses,"arvestama, arutama, asetama, arvutama, harutama",B2
argument,Selliseid argumente ei saa arvestada,"vastuargument, argumenteerima, armetu, baarmen, instrument",B2
arheoloogiline,Arheoloogilised väljakaevamised,"geoloogiline, teoloogiline, ideoloogiline, loogiline, ökoloogiline",B2
arhitektuur,Arhitektuuri saab õppida kunstiülikoolis,"arhitektuurne, karikatuur, tekstuur, prefektuur, kaitsetu",B2
armastama,Mihkel ja Juuli armastavad teineteist kirglikult,"karastama, samastama, varastama, harrastama, karmistama",A1
armastus,"Ei teinud seda raha pärast, vaid armastusest asja vastu","harrastus, avastus, matus, arvestus, arvustus",A1
armuma,"Nad on teineteisesse pööraselt, kõrvuni armunud","varuma, arutama, harjuma, hirmuma, karjuma",B1
aroom,Jasmiinide aroomist küllastatud aed,"parool, astronoom, farm, karm, loom",B2
arsenal,Taimekaitsevahendite arsenal on täienenud,"kaenal, seal, paremal, varasemalt, arvel",B2
arst,Läksin arsti juurde läbivaatusele,"arust, artist, varsti, aste, kast",A1
aruanne,"Täpne, üksikasjalik, mahukas, asjalik, tõetruu aruanne","ranne, auahne, varane, arutamine, haruldane",B1
arusaam,Uue seltskonnaga lävides sai arusaam sõprusest uue sisu,"arusaamatu, arusaamatus, arvustama, varustama, raam",B1
arutama,Ta oli seda mõelnud ning arutanud unetutel öödel,"arvutama, harutama, arvustama, harjutama, targutama",A2
arutus,"Aeg annab, toob arutust","arvutus, arvustus, harjutus, varustus, asutus",B2
arv,Arv kirjutati suurte numbritega tahvlile,"arve, harv, karv, parv, sarv",A1
arvama,"Ma kindlasti ei tea, aga ma arvan","avama, arvutama, arveldama, arvestama, arvustama",A1
arvamus,Avalik arvamus mõistab tema käitumise hukka,"eelarvamus, eriarvamus, lahkarvamus, avatus, varvas",A2
arve,"Ta peab kulutuste, väljaminekute kohta rangelt arvet","arvel, tarve, arvele, arvelt, harv",A2
arvel,Liiklusregistris on arvel 493 349 sõidukit,"arvele, arvelt, tarve, arveldus, kahvel",B2
arveldus,Asutustevahelised sularahata arveldused,"arveldusarve, avaldus, arvelduskonto, arvestus, iiveldus",C1
arvestama,"Võta paber ja pliiats ning arvesta, kui palju see maksma läheb","arvustama, salvestama, survestama, arvutama, avastama",B1
arvestus,Mu arvestus osutus õigeks: poiss tuli tõepoolest tehasesse,"arvustus, arvestuslik, salvestus, arvutus, avastus",B1
arvukalt,Rahvast oli arvukalt kokku tulnud,"arvukas, arvuti, ausalt, arvukus, arvutus",B2
arvukus,"Osavõtjate, küsimuste, sõnavõttude arvukus näitab, et asja vastu tuntakse huvi","arvutus, arvustus, arvutioskus, tarkus, parukas",B2
arvustama,"Autorile ei meeldi, kui tema teoseid arvustatakse","arvutama, varustama, austama, halvustama, asustama",B2
aseesimees,"Seltsi, ametiühingukomitee, erakonna aseesimees","esimees, asemele, esimene, jahimees, massimeedia",B2
asemel,"Kui üks väsis, oli kohe teine asemel","asemele, sedel, seeme, lapsemeelne, astmeline",B1
asemele,"Kui üks pudel tühjaks sai, toodi uus asemele","lapsemeelne, astmeline, kakskeelne, paremale, saksakeelne",B1
asendama,"Vanad masinad, seadmed asendati uutega","masendama, asendamatu, lapsendama, raskendama, asenduma",B1
asendamatu,Kindad on talvepakasega asendamatud,"masendama, lapsendama, raskendama, asenduma, vastupandamatu",B2
asetama,"Elu ise asetab igaühe ette raskeid, teravaid probleeme","katsetama, asutama, austama, soetama, vastama",B1
asi,See asi oli nii olnud juba ammusest ajast,"auasi, edasi, kasin, masin, sassi",A1
asjaolu,"Selgus uus, üllatav, ettenägemata, rõõmustav, tähtis asjaolu","asjatu, asjaosaline, asjatult, najal, vastuolu",B1
asjaosaline,Kõik asjaosalised kuulati üle,"osaline, sõjaline, massiline, osalemine, klassikaline",C1
asjatundja,Tavaline arst ei pruugi olla asjatundja kohtumeditsiini alalt,"asjatundlik, austatud, majandama, tasandama, astuma",B1
aspekt,"Asjal on veel üks aspekt, mida peame arvestama","sekt, respekt, konspekt, inspektor, sektor",B2
aste,Tööde mehhaniseerimise aste on väga erinev,"vaste, auaste, kast, kate, mast",B1
astmeline,Gradatsioon ehk astmeline tõus,"vastumeelne, suhteline, suuteline, imeline, selline",B2
astroloog,Astroloogid koostavad horoskoope,"astroloogia, astronoom, sotsioloog, kataloog, astronoomia",B2
astronaut,USA astronaudid,"astronoomia, astronoom, kosmonaut, magistrant, pansionaat",B2
astuma,"Vaata, et sa porri ei astu","asuma, paastuma, saastuma, taastuma, istuma",B1
asukoht,Tema kalmu asukohta teavad vähesed,"seisukoht, koht, suht, elukoht, esikoht",B1
asula,Iru muistne kindlustatud asula,"aula, sula, asuma, lasuma, laulja",B2
asum,Linna piirile kerkivad uued asumid,"asuma, kasum, lasuma, tasuma, kasu",B2
asuma,Külalised asusid minema,"lasuma, tasuma, asutama, kasuema, katsuma",A1
asustama,See ala asustati peamiselt sunnitöölistega,"tasustama, asutama, austama, maksustama, kasutama",B2
asustus,Kiviaegne asustus paiknes peamiselt veekogu rannikuil,"asutus, austus, kasutus, maiustus, otsustus",B2
asutama,Asutasime juba magamaminekut,"kasutama, matsutama, paisutama, patsutama, ratsutama",B1
atesteerima,Toodangut atesteerima,"tsiteerima, protesteerima, tsenseerima, raseerima, eksisteerima",B2
atleet,Ta on üle kahe meetri pikk atleet,"palee, kotlet, kvaliteet, patent, talent",B2
atmosfäär,Kosmoselaev jõudis Maa atmosfääri,"sfäär, määr, säär, vaatamisväärsus, autor",B2
au,Jaan oli klassi au ja uhkus,"auk, aur, aus, aula, aura",B1
auaste,Auastmelt oli ta eelmisest komandörist kraad kõrgem,"raskusaste, kaust, lause, paast, saast",B2
auhind,Kuulitõuke võitjale anti auhinnaks kristallvaas,"auhindama, hind, tuhin, ind, juhend",B1
aumärk,Suurel pidupäeval jagati aumärke,"kaubamärk, märk, hüüumärk, aur, märksa",B2
aus,"Ta on täiesti, läbini, üdini, kristalselt aus inimene","paus, ausus, katus, kauss, kaust",A2
ausalt,Kukkusin eksamil läbi; te ei usu - ausalt,"valusalt, usinalt, kaust, lausa, osalt",A2
austama,"Esiisade kombeid, traditsioone austama","ladustama, lahustama, maiustama, manustama, panustama",B1
ausõna,"Võtsin temalt ausõna, et ta tuleb","sõna, lausa, salasõna, vanasõna, karusnahk",B2
autasu,Pälvis teenete eest kõrge autasu,"tasu, ratas, tasku, tasuv, marutaud",B2
autasustama,Võitjaid autasustati loorberipärjaga,"tasustama, jutustama, matsutama, otsustama, patsutama",B2
auto,Hommikul sõitis kumbki oma autoga tööle,"autor, laut, veoauto, autojuht, autokool",A1
autogramm,Kirjaniku autogrammiga novellikogu,"autor, gramm, tramm, programm, kilogramm",B2
autojuht,Peaministril on isiklik autojuht,"saatejuht, taksojuht, automaat, autor, tuhat",A2
automaat,Jõime automaadist gaseeritud vett,"automaatne, tomat, pangaautomaat, autonoomia, formaat",B1
autor,Tallinna laululava autorid,"faktor, pastor, autoriteet, laut, reaktor",A2
autoriteet,Igal õpetajal pole õpilaste hulgas autoriteeti,"autoriteetne, prioriteet, prioriteetne, kvaliteet, magustoit",B2
avaldama,"23.-24. veebruaril 1918 loeti avalikult ette ja avaldati trükis "" Manifest kõigile Eestimaa rahvastele ""","kavaldama, valdama, avalduma, avardama, valama",B1
avaldus,Avaldus tuleb saata usuasjade talitusele,"valdus, kavalus, valus, vaheldus, valmidus",A2
avalik,Avalik omand,"valik, rahvalik, taevalik, avalikkus, avalikult",B1
avalikkus,Noor kunstnik astus esimese näitusega avalikkuse ette,"vajalikkus, vaikus, võimalikkus, avalikult, avalikustama",B2
avalikult,Ta polnud kunagi avalikult esinenud,"võimalikult, avalikustama, harilikult, rahulikult, tahtlikult",B1
avama,"Avan koosoleku, nõupidamise, läbirääkimised","avanema, haavama, halvama, kaevama, kasvama",A2
avamine,Ukse avamine,"jagamine, tavaline, vaikne, vaimne, vajaminev",B1
avanema,"Haige virgub, silmad avanevad","vanaema, vanemad, elavnema, kaasnema, kahanema",B1
avarii,Tal oli olnud eile autoga avarii,"vari, peavari, favoriit, vabariik, rahvariided",A2
avarus,"Inimene tungib maailmaruumi, kosmose avarustesse","avatus, vaprus, vargus, vars, varu",B2
baar,Einestasime ühes kesklinna baaris,"baas, kaar, paar, saar, baarmen",A2
baas,Pataljoni baasil formeeriti uus polk,"ebaaus, bass, faas, gaas, kaas",B2
ball,Abiturientide ball toimub mais,"hall, mall, pall, sall, vall",B2
bankett,Konverentsile järgnenud banketilt Rasmus praegu tuligi,"blankett, makett, pakett, rakett, kett",B2
barjäär,Kõgre barjäärina takistab kaukasus õhumasside teed lõunasse,"karjäär, keelebarjäär, jäär, jää, äär",B2
bass,"Mängib, puhub orkestris bassi","boss, buss, kass, mass, pass",B2
biograafia,Raamat sisaldab kultuuritegelaste biograafiaid,"geograafia, graafika, graafik, bürokraatia, bioloogia",B2
blokeerima,"Semaforide süsteem blokeerib teeosa, kus rong parajasti sõidab","šokeerima, broneerima, okupeerima, kerima, kodeerima",B2
blokk,Riikide sõjalised blokid,"lokk, plokk, lokkis, boks, kokk",B2
blond,Miks ikka see priske blond sulle nii kangesti meeldib,"loend, bänd, fond, lend, lind",B1
brünett,Antsule meeldivad brünetid rohkem kui blondid,"rünne, rakett, regatt, kabinet, krevett",B1
bussijuht,Vajatakse bussijuhte kaugliinidele,"bussipilet, siht, suht, klassijuhataja, bussipeatus",A2
bürokraat,Kõige ehtsam bürokraat,"bürokraatia, bürokraatlik, demokraat, kraater, demokraatia",B2
büroo,Eurointegratsiooni büroo,"rool, roos, sündroom, kroon, proov",B1
daam,Käitub nagu tõeline daam,"draama, jaam, raam, edastama, kraam",A2
debüüt,Krusteni debüüt novellistina,"müüt, dieet, duett, menüü, süütu",C1
defekt,Fotoaparaadil ilmnesid defektid juba ostmisel,"efekt, efektne, prefekt, dieet, detektiiv",B2
defitsiit,"Kaaviari on harva saada, see on defitsiit","deposiit, koefitsient, meditsiin, neitsi, visiit",B2
deklaratsioon,Ametiisiku majanduslike huvide deklaratsioon,"dekoratsioon, tuludeklaratsioon, delegatsioon, föderatsioon, spekulatsioon",B2
delegeerima,Selts delegeeris kongressile neli esindajat,"reageerima, legaliseerima, dirigeerima, genereerima, reguleerima",B2
demonstreerima,Demonstreeriti parimaid lühifilme,"monteerima, rekonstrueerima, konstrueerima, kontsentreerima, emiteerima",B2
detail,Plaan oli detailideni läbi mõeldud,"detailne, detailselt, edetabel, ideaal, metall",A2
diagnoos,Haiguslehel oli pandud diagnoosiks gripp,"diagnoosima, dialoog, doos, distants, pedagoog",B2
diagnoosima,Kõiki reumajuhtumeid ei diagnoosita,"prognoosima, disainima, loosima, noomima, soosima",B2
dialoog,Platoni dialoogid,"filoloog, kataloog, pedagoog, pilliroog, diplom",B1
dieet,Olen rangel dieedil,"eest, idee, identiteet, peet, direktor",B1
dikteerima,Direktor dikteeris sekretärile kaks kirja,"diskuteerima, emiteerima, fikseerima, imiteerima, tsiteerima",B2
diplomaat,"Ta on diplomaat, oskab kõigiga läbi saada","diplomaatia, diplomaatiline, plaat, heliplaat, loomaarst",B1
diplomaatia,Naabritega läbisaamine nõudis palju diplomaatiat,"diplomaatiline, problemaatika, empaatia, ilmajaam, ilmakaar",B2
diplomaatiline,"Diplomaatilised protokollid, dokumendid","dramaatiline, problemaatiline, plaaniline, innovaatiline, pragmaatiline",B1
direktor,Ta määrati sovhoosi direktoriks,"rektor, reaktor, doktor, lektor, rekord",A1
dirigeerima,Ooperit dirigeerib teatri peadirigent ise,"korrigeerima, diskrimineerima, imiteerima, reageerima, domineerima",B2
disainer,Mööblivabriku disainerid,"isane, viiner, disainima, edasine, insener",B1
diskrimineerima,Inimesi ei tohi diskrimineerida nende nahavärvi või veendumuste pärast,"domineerima, diskuteerima, kombineerima, kritiseerima, imiteerima",B2
diskussioon,Ettekandele järgnes elav diskussioon,"missioon, sessioon, ekskursioon, illusioon, sektsioon",B1
distants,Missugused distantsid on kavas murdmaasuusatamises,"tants, mõistatus, eksistents, magistrant, mõistmatus",B1
doktriin,Kahe koolkonna doktriinid ei erinenudki teineteisest kuigivõrd,"viktoriin, kokaiin, loterii, radioaktiivne, objektiivne",B2
dokument,Ta kirjutas alla mitmetele dokumentidele oma maja müümise kohta,"monument, dokumenteerima, domeen, moment, konkurent",A2
dotsent,Töötab TÜ-s dotsendina,"protsent, otsene, otse, sent, tsenter",B2
draama,Leidis aset verine draama: sõjavägi tulistas demonstrante,"raamat, rabama, rajama, raam, äratama",B1
dramaatiline,Rõhutab oma sõnu dramaatiliste žestidega,"pragmaatiline, drastiline, matemaatiline, romantiline, temaatiline",B2
duell,Solvatu kutsus solvaja duellile,"modell, edel, hell, hull, kell",B2
dünaamiline,Dünaamiline rõhk tekib vedeliku- või gaasiosakeste liikumisel,"keraamiline, küüniline, maagiline, maaliline, paariline",B2
dünastia,Romanovite dünastia,"nastik, hädasti, hüvasti, kenasti, müstika",B2
eakas,Vanaema on meil juba üpris eakas,"emakas, heaks, eks, kas, ebaaus",B2
ebaaus,Mees on oma eesmärgi saavutamisel ebaaus,"ebamugavus, reaalsus, ebaedu, ebaseaduslik, ebatäpsus",B1
